Player Name,RAPM,RAPM Rank,ORAPM,ORAPM Rank,DRAPM,DRAPM Rank,Year
Alysha Clark,7.26,1,4.08,4,3.18,3,2020
Courtney Vandersloot,5.95,2,5.36,1,0.58,52,2020
Angel McCoughtry,5.78,3,3.93,5,1.84,19,2020
Alanna Smith,5.04,4,2.25,16,2.79,4,2020
Ariel Atkins,4.48,5,2.47,11,2.01,16,2020
Myisha Hines-Allen,4.3,6,3.47,7,0.83,44,2020
Candace Parker,4.18,7,0.6,48,3.57,2,2020
Briann January,4.15,8,1.6,22,2.55,6,2020
Natasha Howard,4.11,9,0.11,63,4.0,1,2020
Napheesa Collier,3.82,10,4.1,3,-0.28,86,2020
Allisha Gray,3.8,11,4.32,2,-0.52,94,2020
Danielle Robinson,3.6,12,2.28,14,1.32,32,2020
Sue Bird,3.59,13,3.67,6,-0.08,74,2020
Brittney Sykes,3.55,14,2.36,12,1.19,34,2020
Sophie Cunningham,3.4,15,1.11,37,2.29,11,2020
A'ja Wilson,3.18,16,1.82,17,1.36,29,2020
Shatori Walker-Kimbrough,2.81,17,0.21,62,2.6,5,2020
Aerial Powers,2.78,18,1.33,30,1.45,25,2020
DeWanna Bonner,2.76,19,0.39,54,2.38,9,2020
Alyssa Thomas,2.65,20,0.32,59,2.32,10,2020
Jasmine Thomas,2.62,21,0.76,44,1.86,18,2020
Brianna Turner,2.52,22,1.61,21,0.91,42,2020
Breanna Stewart,2.52,23,1.68,20,0.84,43,2020
Sami Whitcomb,2.51,24,2.26,15,0.25,60,2020
Brionna Jones,2.38,25,1.23,34,1.15,35,2020
Dearica Hamby,1.95,26,1.03,40,0.92,41,2020
Brittney Griner,1.9,27,0.08,64,1.82,20,2020
Sylvia Fowles,1.86,28,-0.32,79,2.18,14,2020
Seimone Augustus,1.86,29,1.54,24,0.32,58,2020
Jewell Loyd,1.81,30,-0.27,77,2.07,15,2020
Mercedes Russell,1.7,31,-0.1,70,1.8,22,2020
Jackie Young,1.68,32,-0.27,78,1.95,17,2020
Mikiah Herbert Harrigan,1.67,33,-0.86,104,2.53,7,2020
Rachel Banham,1.62,34,1.39,28,0.22,61,2020
Azurá Stevens,1.6,35,1.06,38,0.54,53,2020
Arike Ogunbowale,1.57,36,2.86,8,-1.29,117,2020
Cheyenne Parker,1.53,37,0.39,53,1.14,36,2020
Damiris Dantas,1.44,38,0.62,47,0.83,45,2020
Chelsea Gray,1.38,39,1.51,25,-0.14,77,2020
Teaira McCowan,1.33,40,1.55,23,-0.22,81,2020
Lauren Cox,1.22,41,-1.0,108,2.22,13,2020
Crystal Dangerfield,1.14,42,0.33,58,0.81,47,2020
Erica McCall,1.04,43,1.76,18,-0.73,101,2020
Te'a Cooper,1.01,44,0.37,57,0.64,51,2020
Kahleah Copper,0.98,45,1.73,19,-0.74,105,2020
Ezi Magbegor,0.92,46,1.43,27,-0.52,93,2020
Reshanda Gray,0.89,47,-0.55,89,1.43,26,2020
Carolyn Swords,0.76,48,-0.57,91,1.34,31,2020
Kayla McBride,0.71,49,1.47,26,-0.76,106,2020
Victoria Vivians,0.7,50,1.16,35,-0.45,89,2020
Ruthy Hebard,0.66,51,0.39,55,0.27,59,2020
Nneka Ogwumike,0.65,52,-1.01,109,1.65,24,2020
Kristine Anigwe,0.59,53,1.32,31,-0.73,102,2020
Diana Taurasi,0.56,54,1.01,41,-0.46,91,2020
Sydney Wiese,0.47,55,-0.78,100,1.24,33,2020
Diamond DeShields,0.43,56,-1.33,120,1.76,23,2020
