playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
203399,Elena Delle Donne,6.33,1.0,1.25,26.0,5.08,1.0,99.62
1628878,Ariel Atkins,5.97,2.0,3.12,2.0,2.85,6.0,99.62
203827,Natasha Howard,5.48,3.0,3.81,1.0,1.68,17.0,99.62
201506,LaToya Sanders,4.64,4.0,1.91,12.0,2.73,9.0,99.62
1627673,Jonquel Jones,4.39,5.0,2.69,4.0,1.7,16.0,99.62
1629483,Napheesa Collier,4.38,6.0,2.99,3.0,1.39,22.0,99.62
204324,Dearica Hamby,3.93,7.0,0.54,42.0,3.39,5.0,99.62
203015,Shekinna Stricklen,3.58,8.0,1.4,21.0,2.18,13.0,99.62
203014,Nneka Ogwumike,3.43,9.0,2.32,6.0,1.11,28.0,99.62
1627672,Aerial Powers,3.39,10.0,-0.36,99.0,3.75,3.0,99.62
202252,Alysha Clark,3.12,11.0,1.99,8.0,1.13,27.0,99.62
202664,Courtney Vandersloot,3.11,12.0,-0.72,116.0,3.83,2.0,99.62
201067,Camille Little,2.55,13.0,1.53,16.0,1.03,31.0,99.62
1628278,Shatori Walker-Kimbrough,2.51,14.0,-0.25,92.0,2.76,8.0,99.62
1629569,Maite Cazorla,2.35,15.0,2.61,5.0,-0.26,81.0,99.62
201496,Candace Parker,2.34,16.0,0.05,71.0,2.29,11.0,99.62
202662,Jasmine Thomas,2.3,17.0,0.78,36.0,1.52,19.0,99.62
1628890,Diamond DeShields,2.09,18.0,1.4,20.0,0.69,40.0,99.62
203416,Emma Meesseman,2.09,19.0,-0.69,115.0,2.78,7.0,99.62
203826,Alyssa Thomas,2.03,20.0,1.55,15.0,0.48,50.0,99.62
202633,Liz Cambage,1.91,21.0,1.8,13.0,0.11,62.0,99.62
202658,Danielle Robinson,1.83,22.0,0.99,30.0,0.85,36.0,99.62
204319,Jewell Loyd,1.78,23.0,1.91,11.0,-0.13,76.0,99.62
1628276,Kelsey Plum,1.67,24.0,0.89,33.0,0.77,39.0,99.62
204296,Rebecca Allen,1.65,25.0,2.0,7.0,-0.35,87.0,99.62
1628906,Stephanie Mavunga,1.56,26.0,-0.76,117.0,2.32,10.0,99.62
201516,Allie Quigley,1.52,27.0,-0.36,101.0,1.88,15.0,99.62
201911,Kristi Toliver,1.5,28.0,-2.05,148.0,3.54,4.0,99.62
1629491,Jessica Shepard,1.48,29.0,1.04,29.0,0.45,52.0,99.62
203828,Stefanie Dolson,1.44,30.0,1.96,9.0,-0.52,104.0,99.62
1629479,Teaira McCowan,1.24,32.0,-0.0,72.0,1.24,25.0,99.62
203024,Damiris Dantas,1.24,31.0,1.14,28.0,0.11,61.0,99.62
1628282,Sydney Wiese,1.17,33.0,-0.17,86.0,1.34,23.0,99.62
203825,Kayla McBride,1.15,34.0,1.52,17.0,-0.38,90.0,99.62
204365,Erica Wheeler,1.09,35.0,1.41,19.0,-0.32,84.0,99.62
203833,Chelsea Gray,1.08,36.0,0.8,35.0,0.29,54.0,99.62
1629488,Brianna Turner,1.03,37.0,-0.51,111.0,1.54,18.0,99.62
1629566,Han Xu,1.01,38.0,0.43,50.0,0.58,46.0,99.62
203018,Shenise Johnson,0.98,39.0,1.4,22.0,-0.42,96.0,99.62
1627677,Imani McGee-Stafford,0.97,40.0,0.37,54.0,0.6,44.0,99.62
1628909,Kelsey Mitchell,0.95,41.0,-1.25,136.0,2.19,12.0,99.62
1629476,Asia Durr,0.92,42.0,1.31,24.0,-0.38,91.0,99.62
203437,Tierra Ruffin-Pratt,0.87,44.0,0.96,32.0,-0.09,74.0,99.62
1627701,Temi Fagbenle,0.87,43.0,-0.01,74.0,0.88,33.0,99.62
203029,Riquna Williams,0.85,45.0,0.26,62.0,0.59,45.0,99.62
1629484,Megan Gustafson,0.83,46.0,0.58,40.0,0.24,56.0,99.62
203405,Kayla Alexander,0.81,47.0,0.27,60.0,0.54,48.0,99.62
101030,Tanisha Wright,0.8,48.0,0.16,66.0,0.64,41.0,99.62
202641,Sydney Colson,0.78,49.0,1.96,10.0,-1.18,129.0,99.62
203035,Shey Peddy,0.75,50.0,0.66,39.0,0.09,63.0,99.62
1628279,Brittney Sykes,0.7,51.0,0.71,38.0,-0.0,68.0,99.62
1628277,Allisha Gray,0.68,52.0,-0.48,107.0,1.16,26.0,99.62
203887,Victoria Macaulay,0.62,53.0,0.49,44.0,0.12,60.0,99.62
1628248,Nayo Raincock-Ekunwe,0.55,54.0,1.37,23.0,-0.82,120.0,99.62
203824,Odyssey Sims,0.52,55.0,-0.1,81.0,0.62,43.0,99.62
1628932,A'ja Wilson,0.48,57.0,0.8,34.0,-0.32,85.0,99.62
1628886,Jordin Canada,0.48,56.0,-0.14,83.0,0.62,42.0,99.62
203859,Asia Taylor,0.42,58.0,1.23,27.0,-0.81,119.0,99.62
1628882,Lexie Brown,0.41,59.0,0.49,45.0,-0.07,73.0,99.62
1628317,Karlie Samuelson,0.38,60.0,-0.89,123.0,1.27,24.0,99.62
1629546,Marine Johannes,0.36,61.0,-0.69,114.0,1.04,30.0,99.62
202259,Epiphanny Prince,0.34,62.0,-0.5,109.0,0.84,37.0,99.62
101023,Sancho Lyttle,0.32,63.0,0.36,55.0,-0.04,71.0,99.62
1629482,Sophie Cunningham,0.31,64.0,-0.57,112.0,0.88,34.0,99.62
1629478,Katie Lou Samuelson,0.29,65.0,-1.68,143.0,1.97,14.0,99.62
203069,Avery Warley-Talbert,0.26,66.0,-0.19,90.0,0.45,51.0,99.62
1629501,Alanna Smith,0.26,67.0,1.64,14.0,-1.38,135.0,99.62
1627675,Courtney Williams,0.22,68.0,0.32,58.0,-0.1,75.0,99.62
203389,Yvonne Turner,0.2,69.0,-0.02,77.0,0.22,57.0,99.62
100949,Alana Beard,0.18,71.0,0.21,65.0,-0.03,70.0,99.62
203838,Astou Ndour-Fall,0.18,70.0,-1.26,137.0,1.45,20.0,99.62
201502,Essence Carson,0.14,72.0,0.48,46.0,-0.33,86.0,99.62
201477,Tamera Young,0.12,73.0,0.39,52.0,-0.27,82.0,99.62
203839,Tiffany Bias,0.08,74.0,0.52,43.0,-0.44,98.0,99.62
204330,Isabelle Harrison,0.06,75.0,0.45,48.0,-0.39,94.0,99.62
1628913,Jaime Nared,0.05,76.0,-0.01,73.0,0.06,65.0,99.62
1628268,Alaina Coates,0.05,77.0,0.1,68.0,-0.05,72.0,99.62
203406,Layshia Clarendon,0.02,78.0,0.46,47.0,-0.44,97.0,99.62
201480,Sylvia Fowles,-0.11,79.0,-0.18,87.0,0.07,64.0,99.62
1629500,Anriel Howard,-0.13,80.0,0.24,64.0,-0.37,89.0,99.62
203398,Brittney Griner,-0.18,82.0,-1.04,127.0,0.86,35.0,99.62
1628881,Monique Billings,-0.18,81.0,-0.18,88.0,0.0,67.0,99.62
1628926,Maria Vadeeva,-0.2,83.0,0.43,49.0,-0.63,113.0,99.62
201896,Briann January,-0.2,84.0,0.34,57.0,-0.54,105.0,99.62
1628917,JiSu Park,-0.23,85.0,1.28,25.0,-1.51,138.0,99.62
