Player Name,RAPM,RAPM Rank,ORAPM,ORAPM Rank,DRAPM,DRAPM Rank,Year
Jonquel Jones,6.04,1,2.36,9,3.68,2,2021
Breanna Stewart,5.91,2,3.66,2,2.26,7,2021
Jackie Young,5.83,3,4.19,1,1.64,13,2021
Dearica Hamby,4.51,4,2.75,8,1.76,12,2021
Skylar Diggins-Smith,4.42,5,3.43,4,0.99,34,2021
Jasmine Thomas,4.22,6,1.22,29,3.0,3,2021
Isabelle Harrison,3.97,7,3.26,5,0.7,41,2021
Satou Sabally,3.92,8,1.96,16,1.96,9,2021
Brionna Jones,3.51,9,1.55,22,1.96,10,2021
Brianna Turner,3.45,10,2.02,15,1.43,22,2021
Napheesa Collier,3.12,11,2.98,6,0.13,67,2021
Bella Alarie,3.05,12,-0.8,114,3.85,1,2021
Allie Quigley,2.98,13,3.58,3,-0.6,109,2021
DeWanna Bonner,2.94,14,1.7,18,1.25,27,2021
Briann January,2.91,15,1.49,25,1.42,23,2021
Stephanie Talbot,2.86,16,1.03,37,1.82,11,2021
Layshia Clarendon,2.75,17,1.65,20,1.1,30,2021
Liz Cambage,2.59,18,0.36,56,2.23,8,2021
Candace Parker,2.34,19,0.78,43,1.56,17,2021
Brittney Sykes,2.17,20,-0.25,80,2.41,6,2021
Teaira McCowan,2.15,21,2.98,7,-0.83,118,2021
Ariel Atkins,2.13,22,2.03,14,0.1,70,2021
Mercedes Russell,2.1,23,0.65,48,1.46,20,2021
Sylvia Fowles,2.03,24,0.55,52,1.48,19,2021
Rachel Banham,1.99,25,1.44,26,0.55,47,2021
Amanda Zahui B,1.98,26,-0.63,100,2.61,4,2021
Kayla McBride,1.95,27,0.75,45,1.2,28,2021
Elena Delle Donne,1.88,28,1.01,38,0.87,36,2021
Jewell Loyd,1.85,29,1.22,30,0.62,42,2021
Ruthy Hebard,1.59,30,1.21,31,0.38,52,2021
Brittney Griner,1.54,31,2.25,10,-0.71,114,2021
Aerial Powers,1.53,32,0.67,47,0.86,37,2021
Allisha Gray,1.48,33,0.46,55,1.02,32,2021
Courtney Vandersloot,1.32,34,-0.27,83,1.59,14,2021
Chelsea Gray,1.21,35,1.17,33,0.04,75,2021
Kelsey Plum,1.2,36,1.59,21,-0.39,97,2021
Chelsey Perry,1.15,37,-0.25,81,1.4,24,2021
Destiny Slocum,1.15,38,-0.42,91,1.57,16,2021
Kylee Shook,1.12,39,-1.48,134,2.6,5,2021
Moriah Jefferson,1.11,40,0.81,40,0.3,57,2021
Stefanie Dolson,1.06,41,-0.44,92,1.5,18,2021
Sue Bird,0.97,42,1.66,19,-0.7,112,2021
Marina Mabrey,0.88,43,2.12,13,-1.24,132,2021
A'ja Wilson,0.82,44,0.05,63,0.77,39,2021
Kiah Stokes,0.8,45,-0.36,86,1.16,29,2021
Courtney Williams,0.76,46,1.19,32,-0.43,100,2021
Diana Taurasi,0.72,47,0.98,39,-0.26,89,2021
Chelsea Dungee,0.64,48,-0.71,105,1.35,26,2021
Blake Dietrick,0.62,49,0.03,65,0.58,45,2021
Dana Evans,0.61,50,1.05,36,-0.44,102,2021
Leilani Mitchell,0.59,51,1.54,23,-0.95,123,2021
Riquna Williams,0.58,52,0.01,67,0.57,46,2021
Arella Guirantes,0.57,53,0.64,49,-0.07,82,2021
Alyssa Thomas,0.56,55,-0.51,97,1.07,31,2021
Chiney Ogwumike,0.56,54,-0.46,94,1.02,33,2021
Kaila Charles,0.54,56,-1.05,123,1.59,15,2021
Shatori Walker-Kimbrough,0.54,57,-0.0,70,0.54,48,2021
Linnae Harper,0.53,58,0.33,58,0.2,64,2021
Natasha Cloud,0.5,59,0.02,66,0.49,49,2021
Chennedy Carter,0.48,60,0.27,60,0.21,63,2021
Karlie Samuelson,0.46,61,0.21,62,0.26,60,2021
Sophie Cunningham,0.43,62,1.13,35,-0.7,113,2021
Sabrina Ionescu,0.36,63,0.26,61,0.1,69,2021
Sami Whitcomb,0.3,64,2.16,12,-1.86,145,2021
Jordin Canada,0.26,65,0.52,53,-0.26,88,2021
Natasha Howard,0.2,66,1.15,34,-0.95,124,2021
Reshanda Gray,0.09,67,1.51,24,-1.42,139,2021
Epiphanny Prince,0.07,68,-0.76,111,0.83,38,2021
Jillian Alleyne,0.05,69,-0.17,77,0.22,62,2021
Brittany Boyd,0.03,70,-0.25,82,0.28,59,2021
Mikiah Herbert Harrigan,0.01,71,0.0,68,0.01,77,2021
Kelsey Mitchell,-0.01,72,0.78,42,-0.79,117,2021
Cheyenne Parker,-0.03,73,1.74,17,-1.77,142,2021
Crystal Bradford,-0.04,74,1.22,28,-1.26,134,2021
Angel McCoughtry,-0.08,75,-0.08,72,0.0,78,2021
Tiffany Hayes,-0.11,76,0.8,41,-0.9,122,2021
Kalani Brown,-0.11,77,-0.16,76,0.06,73,2021
Natalie Achonwa,-0.11,78,-0.48,96,0.37,54,2021
Azurá Stevens,-0.13,80,2.21,11,-2.34,151,2021
Damiris Dantas,-0.13,79,0.31,59,-0.43,101,2021
Kristine Anigwe,-0.15,81,0.71,46,-0.86,121,2021
Myisha Hines-Allen,-0.17,82,0.34,57,-0.52,106,2021
Tiffany Mitchell,-0.18,83,-1.15,127,0.96,35,2021
Aari McDonald,-0.27,84,-0.0,69,-0.27,91,2021
Natasha Mack,-0.32,85,-0.39,87,0.07,72,2021
Tina Charles,-0.34,86,0.49,54,-0.83,119,2021
Lexie Brown,-0.37,87,-0.85,117,0.48,50,2021
Katie Lou Samuelson,-0.38,88,-0.81,115,0.43,51,2021
Danielle Robinson,-0.38,89,-0.75,110,0.36,55,2021
Stella Johnson,-0.39,91,-0.73,108,0.34,56,2021
Haley Gorecki,-0.39,90,-0.42,90,0.04,76,2021
JiSu Park,-0.49,92,1.3,27,-1.79,144,2021
Shyla Heal,-0.5,93,-0.41,88,-0.09,83,2021
Monique Billings,-0.5,95,-0.45,93,-0.06,81,2021
Aleah Goodman,-0.5,94,-0.15,75,-0.35,92,2021
Kahleah Copper,-0.56,96,0.77,44,-1.34,136,2021
Nia Coffey,-0.57,98,-0.76,112,0.19,65,2021
Megan Walker,-0.57,97,-0.8,113,0.23,61,2021
Awak Kuier,-0.64,99,-0.22,79,-0.42,99,2021
Erica McCall,-0.65,101,-0.7,104,0.05,74,2021
Kiara Leslie,-0.65,100,-0.41,89,-0.24,87,2021
Natisha Hiedeman,-0.66,102,-0.12,74,-0.54,108,2021
Diamond DeShields,-0.68,103,-1.27,130,0.59,44,2021
Joyner Holmes,-0.69,104,0.63,50,-1.32,135,2021
Bridget Carleton,-0.7,105,-2.15,146,1.45,21,2021
Michaela Onyenwere,-0.9,106,-0.63,101,-0.27,90,2021
Alanna Smith,-0.9,107,-0.99,121,0.09,71,2021
Shey Peddy,-0.93,108,-0.48,95,-0.45,103,2021
Ezi Magbegor,-0.98,109,-0.61,99,-0.37,94,2021
Cierra Burdick,-1.03,110,-0.65,102,-0.38,95,2021
DiJonai Carrington,-1.03,111,-0.93,119,-0.1,84,2021
Theresa Plaisance,-1.13,112,-1.5,136,0.37,53,2021
Elizabeth Williams,-1.16,114,-1.34,133,0.18,66,2021
Tyasha Harris,-1.16,113,-0.2,78,-0.96,125,2021
DiDi Richards,-1.19,115,-1.49,135,0.3,58,2021
Betnijah Laney,-1.24,116,-0.03,71,-1.21,128,2021
Bria Hartley,-1.26,117,-1.03,122,-0.23,86,2021
Shavonte Zellous,-1.26,118,-1.26,129,-0.0,79,2021
Kristi Toliver,-1.27,119,-0.74,109,-0.53,107,2021
Jasmine Walker,-1.28,120,-0.55,98,-0.73,115,2021
Stephanie Watts,-1.42,121,-0.94,120,-0.48,104,2021
Emma Cannon,-1.52,122,-0.29,84,-1.23,131,2021
Arike Ogunbowale,-1.58,123,0.58,51,-2.16,149,2021
Kiana Williams,-1.67,124,-1.63,138,-0.04,80,2021
Leaonna Odom,-1.71,125,-1.1,126,-0.61,110,2021
Jessica Shepard,-1.73,126,-0.66,103,-1.07,127,2021
Tianna Hawkins,-1.88,127,-0.91,118,-0.98,126,2021
Nneka Ogwumike,-1.89,128,-2.51,149,0.62,43,2021
Crystal Dangerfield,-1.96,129,-0.72,107,-1.23,130,2021
Kia Nurse,-2.1,130,-1.72,142,-0.38,96,2021
Bernadett Hatar,-2.13,131,-1.28,131,-0.85,120,2021
Astou Ndour-Fall,-2.21,132,-2.94,152,0.73,40,2021
Stephanie Jones,-2.24,133,-1.87,144,-0.36,93,2021
Te'a Cooper,-2.29,134,-3.68,155,1.39,25,2021
Beatrice Mompremier,-2.31,136,-1.63,139,-0.68,111,2021
Kysre Gondrezick,-2.31,135,-1.55,137,-0.76,116,2021
Lauren Cox,-2.37,137,-2.21,148,-0.16,85,2021
Erica Wheeler,-2.61,138,-2.2,147,-0.41,98,2021
Megan Gustafson,-2.65,139,-1.08,125,-1.57,141,2021
Aaliyah Wilson,-2.66,140,-1.32,132,-1.34,137,2021
Bria Holmes,-2.67,141,-1.17,128,-1.5,140,2021
Kayla Thornton,-2.83,142,-1.06,124,-1.77,143,2021
Candice Dupree,-2.96,144,-1.7,141,-1.26,133,2021
Jazmine Jones,-2.96,143,-3.06,153,0.1,68,2021
Kennedy Burke,-2.97,145,-0.82,116,-2.15,148,2021
