off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,2
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,2
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,0
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,2
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,0
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,2
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,2
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,0
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,3
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,0
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,0
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,2
202633,203400,1628277,203017,202640,203398,201896,100940,201886,101023,2
203398,201896,100940,201886,101023,202633,203400,1628277,203017,202640,3
202633,203400,1628277,203017,202640,1628895,201896,100940,201886,101023,2
1628895,201896,100940,201886,101023,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,1628895,201896,100940,201886,201067,0
1628895,201507,100940,201886,201067,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,1628895,201507,100940,201886,201067,0
1628895,201507,100940,201886,201067,202633,203400,1628277,203017,202640,0
202633,203400,1628277,203017,202640,1628895,201507,100940,201886,201067,2
1628895,201507,100940,201886,201067,202633,203400,1628277,203017,202640,0
202633,1628267,1628277,203017,202640,1628895,201507,100940,201886,201067,3
1628895,201507,100940,201886,201067,202633,1628267,1628277,203017,202640,2
202633,1628267,1628277,203017,202640,1628895,201507,201896,201886,201067,1
1628895,201507,201896,201886,201067,1628292,1628267,1628277,203017,202640,0
1628292,1628267,1628277,203017,202640,1628895,201507,201896,201886,201067,0
1628895,201507,201896,201886,201067,1628292,1628267,1628273,203017,1628922,3
1628292,1628267,1628273,203017,1628922,1628895,201507,201896,201886,201067,2
1628895,201507,201896,201886,201067,1628292,1628267,1628273,203017,1628922,0
1628292,1628267,1628273,203017,1628922,1628895,201507,201896,201886,201067,0
1628895,201507,201896,201886,201067,1628292,1628267,1628273,203017,1628922,2
1628292,1628267,1628273,203017,1628922,1628895,201507,201896,201886,201067,0
1628895,201507,201896,201886,201067,1628292,1628267,1628273,203017,203866,1
1628292,1628267,1628273,203017,203866,1628895,201507,201896,201886,201067,0
1628895,201507,201896,201886,201067,1628292,1628267,1628273,203017,203866,0
1628292,1628267,1628273,203017,203866,1628895,201507,201896,201886,201067,0
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,2
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,3
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,2
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,2
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,2
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,0
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,3
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,0
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,0
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,2
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,0
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,0
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,0
100940,203855,101023,201507,203398,202633,1628273,203400,203866,203017,2
202633,1628273,203400,203866,203017,100940,203855,101023,201507,203398,0
100940,203855,101023,201507,203398,202633,1628273,203400,1628277,203017,2
202633,1628273,203400,1628277,203017,100940,203855,101023,201507,203398,0
100940,203855,101023,201507,203398,202633,1628273,203400,1628277,203017,0
202633,1628273,203400,1628277,203017,100940,201067,201886,201896,203398,3
100940,201067,201886,201896,203398,202633,1628273,203400,1628277,203017,2
202633,1628273,203400,1628277,203017,100940,201067,201886,201896,203398,2
100940,201067,201886,201896,203398,202633,1628273,203400,1628277,203017,0
202633,1628273,203400,1628277,203017,100940,201067,201886,201896,203398,2
100940,201067,201886,201896,203398,202633,1628273,203400,1628277,203017,3
202633,1628273,203400,1628277,203017,100940,201067,201886,201896,203398,3
100940,201067,201886,201896,203398,202633,1628273,203400,1628277,203017,0
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,0
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,0
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,2
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,3
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,3
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,0
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,0
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,0
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,0
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,2
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,0
100940,201067,201886,201896,203398,202633,1628922,203400,1628277,203017,3
202633,1628922,203400,1628277,203017,100940,201067,201886,201896,203398,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,2
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,2
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,2
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,2
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,0
203017,203400,202633,202640,1628277,203398,201896,101023,201886,100940,0
203398,201896,101023,201886,100940,203017,203400,202633,202640,1628277,2
